name,description
Bachelor of Architectural Studies/bachelor of Architecture,TUK
Bachelor of Science (Quantity Surveying),TUK
Bachelor of Science (Mathematics),TUK
Bachelor of Science (Biochemistry),TUK
Bachelor of Engineering (Civil Engineering),TUK
Bachelor of Engineering (Mechanical Engineering),TUK
Bachelor of Engineering (Geospatial Engineering),TUK
Bachelor of Technology (Food Science and Technology),TUK
Bachelor of Commerce (B.Com),TUK
Bachelor of Economics,TUK
Bachelor of Science (Tourism Management),TUK
Bachelor of Music,TUK
Bachelor of Technology (Science Laboratory Technology),TUK
Bachelor of Technology (Biotechnology),TUK
Bachelor of Technology (Information Technology),TUK
Bachelor of Science (Information Studies),TUK
Bachelor of Arts (International Relations and Diplomacy),TUK
Bachelor of Technology (Real Estate and Property Management),TUK
Bachelor of Science (Counselling Psychology),TUK
Bachelor of Science (Land Administration),TUK
Bachelor of Technology (Design),TUK
Bachelor of Technology (Geoinformation Technology),TUK
Bachelor of Technology (Nutrition and Dietetics),TUK
Bachelor of Technology (Hotel and Restaurant Management),TUK
Bachelor of Technology (Medical Laboratory Science),TUK
Bachelor of Technology (Business Information Technology),TUK
Bachelor of Technology (Journalism and Mass Communication),TUK
Bachelor of Technology (Technical and Applied Physics),TUK
Bachelor of Technology (Industrial and Applied Chemistry),TUK
Bachelor of Science (Accountancy),TUK
Bachelor of Technology (Environmental Resource Management),TUK
Bachelor of Technology (Office Administration and Technology),TUK
Bachelor of Technology (Institutional Catering and Accommodation),TUK
Bachelor of The Built Environment (Urban and Regional Planning),TUK
Bachelor of Science (Event and Convention Management),TUK
Bachelor of Technology (Applied Biology),TUK
Bachelor of Technology (Applied Statistics),TUK
Bachelor of Technology (Communication and Computer Networks),TUK
Bachelor of Engineering (Aeronautical Engineering),TUK
Bachelor of Technology (Electrical and Electronic Engineering Technology),TUK
Bachelor of Technology (Civil Engineering Technology),TUK
Bachelor of Technology (Mechanical Engineering Technology),TUK
Bachelor of Applied Science (Geo-informatics),TUK
Bachelor of Engineering (Chemical Engineering),TUK
Bachelor of Engineering (Electrical and Electronic Engineering),TUK
Bachelor of Science (Urban Design and Development),TUK
Bachelor of The Built Environment (Construction Management),TUK
Bachelor of Technology (Chemical Engineering),TUK
Bachelor of Technology (Computer Technology),TUK
Bachelor of Technology (Geospatial Engineering Technology),TUK
Bachelor of Science (Hospitality Management),TUK
Bachelor of Technology (Building Construction),TUK
Bachelor of Architectural Studies/bachelor of Architecture,TUM
Bachelor of Science in Civil Engineering,TUM
Bachelor of Science in Electrical & Electronic Engineering,TUM
Bachelor of Science in Mechanical Engineering,TUM
Bachelor of Science in Food Technology & Quality Assurance,TUM
Bachelor of Commerce,TUM
Bachelor in Business Administration,TUM
Bachelor of Business and Office Management,TUM
Bachelor of Science in Tourism Management,TUM
Bachelor of Technology in Information & Communication Technology,TUM
Bachelor of Broadcast Journalism,TUM
Bachelor of Journalism & Mass Communication,TUM
Bachelor of Science in Medical Laboratory Sciences,TUM
Bachelor of Technology in Hotel & Hospitality Management,TUM
Bachelor of Science in Information Technology,TUM
Bachelor of Technology in Information Technology,TUM
Bachelor of Business Information Technology,TUM
Bachelor of Technology in Industrial Microbiology & Biotechnology,TUM
Bachelor of Science in Development Studies,TUM
Bachelor of Science in Mathematics & Computer Science,TUM
Bachelor of Science in Community Health,TUM
Bachelor of Technology in Applied Chemistry (Analytical & Industrial Options),TUM
Bachelor of Science in Molecular Biology and Forensic Technology,TUM
Bachelor of Technology in Applied Physics (Electronics & Instrumentation),TUM
Bachelor of Technology in Renewable Energy & Environmental Physics,TUM
Bachelor of Technology in Electrical and Electronic Engineering,TUM
Bachelor of Science in Environmental Health Sciences (Public Health),TUM
Bachelor of Science in Fisheries and Oceanoggraphy,TUM
Bachelor of Technology (Civil Engineering Technology),TUM
Bachelor of Technology in Medical Engineering,TUM
Bachelor of Technology (Mechanical Engineering Technology),TUM
Bachelor of Technology in Marine Engineering,TUM
Bachelor of Science in Maritime Management (Commercial),TUM
Diploma in Sales and Marketing,TUM
Bachelor of Science in Marine Resource Management,TUM
Bachelor of Science in Mathematics and Finance,TUM
Diploma in Accountancy,TUM
Diploma in Catering & Accommodation Management,TUM
Bachelor of Science (Medical Engineering),TUM
Diploma in Automotive Engineering,TUM
Diploma in Architecture,TUM
Diploma in Quantity Surveying,TUM
Diploma in Building and Civil Engineering,TUM
Diploma in Mechanical Engineering (Plant Option),TUM
Diploma in Environmental Science,TUM
Diploma in Analytical Chemistry,TUM
Diploma in Business Management,TUM
Diploma in Business Administration,TUM
Diploma in Tourism Management,TUM
Diploma in Information Communication Technology,TUM
Diploma in Enviromental Health Sciences,TUM
Diploma in Human Resource Management,TUM
Diploma in Pharmaceutical Technology,TUM
Diploma in Medical Laboratory Science,TUM
Diploma in Medical Engineering,TUM
Diploma in Chemical Engineering,TUM
Diploma in Mechanical Engineering (Production Option),TUM
Diploma in Marine Engineering,TUM
Diploma in Nautical Sciences,TUM
Diploma in Public Relations,TUM
Diploma in Technology Medical Engineering,TUM
Diploma in Front Office Operations and Customer Care,TUM
Diploma in Shipping,TUM
Diploma in Secretarial Studies and Office Management,TUM
Diploma in Hotel and Institutional Management,TUM
Bachelor of Science in Statistics & Computer Science,TUM
Diploma in Archives and Records Management,TUM
Diploma in Community Development and Counselling,TUM
Diploma in Community Health & Hiv Management,TUM
Diploma in Industrial Microbiology & Biotechnology,TUM
Diploma in Food Technology & Quality Assurance,TUM
Diploma in Nutrition & Dietetics,TUM
Diploma in Technology in (Electronics & Automation Engineering),TUM
Diploma in Technology in Electronic Engineering,TUM
Diploma in Technology in Electrical Power Engineering,TUM
Diploma in Technology (Instrumentation & Control),TUM
Diploma in Technology (Telecommunication & Information Engineering),TUM
Diploma in County Governance and Ethics,TUM
Diploma in Logistics and Transport Management,TUM
Diploma in Procurement and Materials Management,TUM
Diploma in Library and Information Science,TUM
Diploma in Graphic Design,TUM
Diploma in Mass Communication,TUM
Diploma in Science Laboratory Technology,TUM
Diploma in Refrigeration & Air Conditioning,TUM
Bachelor of Science in Actuarial Science,DeKUT
Bachelor of Science in Industrial Chemistry,DeKUT
Bachelor of Science in Computer Science,DeKUT
Bachelor of Science in Civil Engineering,DeKUT
Bachelor of Science in Electrical and Electronic Engineering,DeKUT
Bachelor of Science in Mechanical Engineering,DeKUT
Bachelor of Science in Food Science and Technology,DeKUT
Bachelor of Science in Nursing Science,DeKUT
Bachelor of Commerce (B.Com),DeKUT
Bachelor of Business Administration,DeKUT
Bachelor of Sustainable Tourism and Hospitality Management,DeKUT
Bachelor of Science in Information Technology,DeKUT
Bachelor of Science in Mechatronic Engineering,DeKUT
Bachelor of Business Information Technology,DeKUT
Bachelor of Purchasing & Supplies Management,DeKUT
Bachelor of Education in Technology (Mechanical Engineering),DeKUT
Bachelor of Education in Technology (Electrical & Electronic Engineering),DeKUT
Bachelor of Education in Technology (Civil Engineering),DeKUT
Bachelor of Science in Leather Technology,DeKUT
Bachelor of Science in Geomatics and Geospatial Information Systems,DeKUT
Bachelor of Science in Geospatial Information Science and Remote Sensing,DeKUT
Bachelor of Science (Industrial Chemistry),PU
Bachelor of Science (Mathematics),PU
Bachelor of Science (Biology),PU
Bachelor of Science (Biochemistry),PU
Bachelor of Science (Computer Science),PU
Bachelor of Science in Agriculture,PU
Bachelor of Science (Nursing),PU
Bachelor of Commerce,PU
